1777,12,7,14,5,right,right,"[{""positionX"": 11, ""positionY"": 11}, {""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}]"
1778,12,7,15,5,right,right,"[{""positionX"": 11, ""positionY"": 10}, {""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}]"
1779,12,7,16,5,right,right,"[{""positionX"": 11, ""positionY"": 9}, {""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}]"
1780,12,7,16,6,right,down,"[{""positionX"": 11, ""positionY"": 8}, {""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 5}]"
1781,12,7,15,6,down,left,"[{""positionX"": 11, ""positionY"": 7}, {""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 6}]"
1782,12,7,14,6,left,left,"[{""positionX"": 11, ""positionY"": 6}, {""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 6}, {""positionX"": 15, ""positionY"": 6}]"
1783,12,7,13,6,left,left,"[{""positionX"": 11, ""positionY"": 5}, {""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 6}, {""positionX"": 15, ""positionY"": 6}, {""positionX"": 14, ""positionY"": 6}]"
1784,12,7,13,7,left,down,"[{""positionX"": 12, ""positionY"": 5}, {""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 6}, {""positionX"": 15, ""positionY"": 6}, {""positionX"": 14, ""positionY"": 6}, {""positionX"": 13, ""positionY"": 6}]"
1785,12,7,13,8,down,down,"[{""positionX"": 13, ""positionY"": 5}, {""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 6}, {""positionX"": 15, ""positionY"": 6}, {""positionX"": 14, ""positionY"": 6}, {""positionX"": 13, ""positionY"": 6}, {""positionX"": 13, ""positionY"": 7}]"
1786,12,7,13,9,down,down,"[{""positionX"": 14, ""positionY"": 5}, {""positionX"": 15, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 5}, {""positionX"": 16, ""positionY"": 6}, {""positionX"": 15, ""positionY"": 6}, {""positionX"": 14, ""positionY"": 6}, {""positionX"": 13, ""positionY"": 6}, {""positionX"": 13, ""positionY"": 7}, {""positionX"": 13, ""positionY"": 8}]"
